page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image      42    36  icc     3   8  jpeg   no      1091  0   145   133 1316B  29%
   1     1 smask      42    36  gray    1   8  image  no      1091  0   145   133  292B  19%
   1     2 image      39    34  index   1   8  image  no      1094  0   144   140  558B  42%
   1     3 smask      39    34  gray    1   8  image  no      1094  0   144   140  411B  31%
   1     4 image    2000  1500  rgb     3   8  image  no      1097  0  3592  3592  122K 1.4%
   1     5 smask    2000  1500  gray    1   8  image  no      1097  0  3592  3592 44.1K 1.5%
   1     6 image     400   400  rgb     3   8  image  no      1100  0  1064  1064 2963B 0.6%
   1     7 smask     400   400  gray    1   8  image  no      1100  0  1064  1064  178B 0.1%
   1     8 image    1200   633  rgb     3   8  image  no      1106  0  2258  2258 22.5K 1.0%
   1     9 smask    1200   633  gray    1   8  image  no      1106  0  2258  2258 17.4K 2.3%
   1    10 image     443   114  rgb     3   8  image  no      1109  0   685   685 12.6K 8.5%
   1    11 smask     443   114  gray    1   8  image  no      1109  0   685   685   72B 0.1%
   1    12 image     500   500  rgb     3   8  image  no      1115  0   327   327 52.3K 7.1%
   1    13 smask     500   500  gray    1   8  image  no      1115  0   327   327  264B 0.1%
   3    14 image     557   465  rgb     3   8  jpeg   no      1161  0    72    72 9607B 1.2%
   3    15 mask      557   465  -       1   1  image  no      1161  0    72    72  143B 0.4%
   3    16 image     535   258  rgb     3   8  jpeg   no      1165  0    72    72 4653B 1.1%
   3    17 smask     535   258  gray    1   8  image  no      1165  0    72    72  720B 0.5%
   3    18 image     557   329  rgb     3   8  jpeg   no      1169  0    72    72 6372B 1.2%
   3    19 mask      557   329  -       1   1  image  no      1169  0    72    72  108B 0.5%
   3    20 image     535    85  rgb     3   8  jpeg   no      1173  0    72    72 2131B 1.6%
   3    21 smask     535    85  gray    1   8  image  no      1173  0    72    72  283B 0.6%
   4    22 image     557   113  rgb     3   8  jpeg   no      1184  0    72    72 3648B 1.9%
   4    23 mask      557   113  -       1   1  image  no      1184  0    72    72   58B 0.7%
   4    24 image     535   100  rgb     3   8  jpeg   no      1188  0    72    72 3431B 2.1%
   4    25 smask     535   100  gray    1   8  image  no      1188  0    72    72  323B 0.6%
   4    26 image     557   443  rgb     3   8  jpeg   no      1192  0    72    72 9331B 1.3%
   4    27 mask      557   443  -       1   1  image  no      1192  0    72    72  138B 0.4%
   4    28 image     535   198  rgb     3   8  jpeg   no      1196  0    72    72 4640B 1.5%
   4    29 smask     535   198  gray    1   8  image  no      1196  0    72    72  585B 0.6%
   4    30 image     557   228  rgb     3   8  jpeg   no      1200  0    72    72 5056B 1.3%
   4    31 mask      557   228  -       1   1  image  no      1200  0    72    72   83B 0.5%
   5    32 image     557   126  rgb     3   8  jpeg   no      1211  0    72    72 3680B 1.7%
   5    33 mask      557   126  -       1   1  image  no      1211  0    72    72   63B 0.7%
   5    34 image     535   113  rgb     3   8  jpeg   no      1215  0    72    72 3940B 2.2%
   5    35 smask     535   113  gray    1   8  image  no      1215  0    72    72  394B 0.7%
   5    36 image     557   384  rgb     3   8  jpeg   no      1219  0    72    72 8455B 1.3%
   5    37 mask      557   384  -       1   1  image  no      1219  0    72    72  124B 0.5%
   5    38 image     535   153  rgb     3   8  jpeg   no      1223  0    72    72 4475B 1.8%
   5    39 smask     535   153  gray    1   8  image  no      1223  0    72    72  484B 0.6%
   5    40 image     557   274  rgb     3   8  jpeg   no      1227  0    72    72 5698B 1.2%
   5    41 mask      557   274  -       1   1  image  no      1227  0    72    72   95B 0.5%
   5    42 image     535    92  rgb     3   8  jpeg   no      1231  0    72    72 2152B 1.5%
   5    43 smask     535    92  gray    1   8  image  no      1231  0    72    72  298B 0.6%
   6    44 image     557   402  rgb     3   8  jpeg   no      1242  0    72    72 7337B 1.1%
   6    45 mask      557   402  -       1   1  image  no      1242  0    72    72  127B 0.5%
   6    46 image     535   389  rgb     3   8  jpeg   no      1246  0    72    72 6964B 1.1%
   6    47 smask     535   389  gray    1   8  image  no      1246  0    72    72  973B 0.5%
   6    48 image     557   392  rgb     3   8  jpeg   no      1250  0    72    72 7186B 1.1%
   6    49 mask      557   392  -       1   1  image  no      1250  0    72    72  123B 0.5%
   6    50 image     535   183  rgb     3   8  jpeg   no      1254  0    72    72 4706B 1.6%
   6    51 smask     535   183  gray    1   8  image  no      1254  0    72    72  551B 0.6%
   6    52 image     666   417  rgb     3   8  jpeg   no      1258  0    94    94 64.3K 7.9%
   7    53 image     557    12  rgb     3   8  jpeg   no      1267  0    72    72 2350B  12%
   7    54 mask      557    12  -       1   1  image  no      1267  0    72    72   26B 3.1%
   7    55 image     557   462  rgb     3   8  jpeg   no      1271  0    72    72 9427B 1.2%
   7    56 mask      557   462  -       1   1  image  no      1271  0    72    72  141B 0.4%
   7    57 image     535   243  rgb     3   8  jpeg   no      1275  0    72    72 5431B 1.4%
   7    58 smask     535   243  gray    1   8  image  no      1275  0    72    72  686B 0.5%
   7    59 image     557   310  rgb     3   8  jpeg   no      1279  0    72    72 6124B 1.2%
   7    60 mask      557   310  -       1   1  image  no      1279  0    72    72  103B 0.5%
   7    61 image     535   104  rgb     3   8  jpeg   no      1283  0    72    72 2323B 1.4%
   7    62 smask     535   104  gray    1   8  image  no      1283  0    72    72  325B 0.6%
   7    63 image    1059   208  rgb     3   8  jpeg   no      1287  0   149   150 25.3K 3.9%
   8    64 image     557    78  rgb     3   8  jpeg   no      1297  0    72    72 3074B 2.4%
   8    65 mask      557    78  -       1   1  image  no      1297  0    72    72   51B 0.9%
   8    66 image     535    65  rgb     3   8  jpeg   no      1301  0    72    72 2956B 2.8%
   8    67 smask     535    65  gray    1   8  image  no      1301  0    72    72  244B 0.7%
   8    68 image     557   401  rgb     3   8  jpeg   no      1305  0    72    72 8755B 1.3%
   8    69 mask      557   401  -       1   1  image  no      1305  0    72    72  127B 0.5%
   8    70 image     535   158  rgb     3   8  jpeg   no      1309  0    72    72 4252B 1.7%
   8    71 smask     535   158  gray    1   8  image  no      1309  0    72    72  495B 0.6%
   8    72 image     557   305  rgb     3   8  jpeg   no      1313  0    72    72 6124B 1.2%
   8    73 mask      557   305  -       1   1  image  no      1313  0    72    72  102B 0.5%
   8    74 image     535   111  rgb     3   8  jpeg   no      1317  0    72    72 2346B 1.3%
   8    75 smask     535   111  gray    1   8  image  no      1317  0    72    72  341B 0.6%
   9    76 image     557    73  rgb     3   8  jpeg   no      1328  0    72    72 3112B 2.6%
